site_id,event_start,event_end,n_alerts,top1_kpi,top2_kpi,top3_kpi,predicted_archetype,top_kpi_scores
S0,2024-01-20 00:00:00,2024-01-20 01:15:00,6,supply_voltage_v,call_setup_success_rate,active_users,F3,"{'supply_voltage_v': 1.75, 'call_setup_success_rate': 1.04, 'active_users': 0.62}"
S0,2024-01-21 00:00:00,2024-01-21 00:15:00,2,uplink_interference_dbm,handover_success_rate,cpu_load,F2,"{'uplink_interference_dbm': 1.1, 'handover_success_rate': 1.09, 'cpu_load': 0.81}"
S1,2024-01-11 00:00:00,2024-01-11 00:00:00,1,signal_quality_db,uplink_interference_dbm,call_setup_success_rate,F5,"{'signal_quality_db': 1.08, 'uplink_interference_dbm': 0.98, 'call_setup_success_rate': 0.91}"
S1,2024-01-11 08:15:00,2024-01-11 08:30:00,2,handover_success_rate,temperature_c,cpu_load,F6,"{'handover_success_rate': 6.03, 'temperature_c': 2.9, 'cpu_load': 2.7}"
S1,2024-01-11 10:00:00,2024-01-11 10:00:00,1,handover_success_rate,temperature_c,cpu_load,F6,"{'handover_success_rate': 5.44, 'temperature_c': 2.58, 'cpu_load': 2.47}"
S1,2024-01-11 10:30:00,2024-01-11 10:30:00,1,handover_success_rate,latency_ms,signal_quality_db,F6,"{'handover_success_rate': 5.36, 'latency_ms': 2.93, 'signal_quality_db': 2.5}"
S1,2024-01-11 11:00:00,2024-01-11 11:00:00,1,handover_success_rate,downlink_traffic_gb,supply_voltage_v,F3,"{'handover_success_rate': 5.8, 'downlink_traffic_gb': 2.02, 'supply_voltage_v': 1.91}"
S1,2024-01-11 17:30:00,2024-01-11 18:30:00,5,handover_success_rate,latency_ms,active_users,F6,"{'handover_success_rate': 10.77, 'latency_ms': 3.01, 'active_users': 2.43}"
S1,2024-01-11 19:00:00,2024-01-11 23:30:00,19,handover_success_rate,latency_ms,downlink_traffic_gb,F6,"{'handover_success_rate': 12.05, 'latency_ms': 3.15, 'downlink_traffic_gb': 2.73}"
S1,2024-01-12 00:00:00,2024-01-12 00:30:00,3,handover_success_rate,call_drop_rate,temperature_c,F2,"{'handover_success_rate': 12.12, 'call_drop_rate': 0.65, 'temperature_c': 0.54}"
S1,2024-01-12 08:00:00,2024-01-12 08:15:00,2,handover_success_rate,latency_ms,call_drop_rate,F6,"{'handover_success_rate': 18.15, 'latency_ms': 3.34, 'call_drop_rate': 2.63}"
S1,2024-01-12 09:00:00,2024-01-12 09:30:00,3,handover_success_rate,latency_ms,downlink_traffic_gb,F6,"{'handover_success_rate': 19.45, 'latency_ms': 3.78, 'downlink_traffic_gb': 2.62}"
S1,2024-01-12 10:00:00,2024-01-12 10:30:00,3,handover_success_rate,latency_ms,cpu_load,F6,"{'handover_success_rate': 19.3, 'latency_ms': 3.28, 'cpu_load': 2.35}"
S1,2024-01-12 11:00:00,2024-01-12 11:00:00,1,handover_success_rate,latency_ms,cpu_load,F2,"{'handover_success_rate': 19.46, 'latency_ms': 2.81, 'cpu_load': 1.79}"
S1,2024-01-12 18:30:00,2024-01-12 19:00:00,3,temperature_c,downlink_traffic_gb,cpu_load,F6,"{'temperature_c': 3.22, 'downlink_traffic_gb': 3.21, 'cpu_load': 3.16}"
S1,2024-01-12 19:30:00,2024-01-12 22:30:00,13,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.07, 'active_users': 3.01, 'cpu_load': 2.82}"
S1,2024-01-12 23:15:00,2024-01-12 23:15:00,1,supply_voltage_v,signal_quality_db,downlink_traffic_gb,F3,"{'supply_voltage_v': 2.08, 'signal_quality_db': 1.51, 'downlink_traffic_gb': 1.39}"
S1,2024-01-13 00:00:00,2024-01-13 00:45:00,4,retransmission_rate,handover_success_rate,downlink_traffic_gb,F1,"{'retransmission_rate': 0.88, 'handover_success_rate': 0.85, 'downlink_traffic_gb': 0.72}"
S1,2024-01-13 09:00:00,2024-01-13 11:30:00,11,call_drop_rate,call_setup_success_rate,retransmission_rate,F1,"{'call_drop_rate': 6.59, 'call_setup_success_rate': 6.11, 'retransmission_rate': 4.3}"
S1,2024-01-15 18:30:00,2024-01-15 22:00:00,15,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.3, 'active_users': 3.13, 'cpu_load': 3.09}"
S1,2024-01-16 00:00:00,2024-01-16 00:30:00,3,handover_success_rate,supply_voltage_v,call_drop_rate,F1,"{'handover_success_rate': 0.88, 'supply_voltage_v': 0.81, 'call_drop_rate': 0.79}"
S1,2024-01-16 09:45:00,2024-01-16 09:45:00,1,cpu_load,latency_ms,temperature_c,F6,"{'cpu_load': 2.69, 'latency_ms': 2.66, 'temperature_c': 2.64}"
S1,2024-01-16 18:45:00,2024-01-16 18:45:00,1,cpu_load,temperature_c,latency_ms,F6,"{'cpu_load': 3.33, 'temperature_c': 3.24, 'latency_ms': 2.99}"
S1,2024-01-16 19:45:00,2024-01-16 21:45:00,9,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.35, 'cpu_load': 3.2, 'active_users': 3.16}"
S1,2024-01-16 22:30:00,2024-01-16 22:30:00,1,downlink_traffic_gb,active_users,signal_quality_db,F1,"{'downlink_traffic_gb': 1.97, 'active_users': 1.95, 'signal_quality_db': 1.94}"
S1,2024-01-17 00:00:00,2024-01-17 00:30:00,3,call_drop_rate,call_setup_success_rate,temperature_c,F1,"{'call_drop_rate': 0.74, 'call_setup_success_rate': 0.62, 'temperature_c': 0.59}"
S1,2024-01-17 09:30:00,2024-01-17 09:30:00,1,cpu_load,temperature_c,active_users,F6,"{'cpu_load': 2.8, 'temperature_c': 2.75, 'active_users': 2.71}"
S1,2024-01-17 10:00:00,2024-01-17 10:00:00,1,latency_ms,downlink_traffic_gb,active_users,F6,"{'latency_ms': 2.63, 'downlink_traffic_gb': 2.49, 'active_users': 2.45}"
S1,2024-01-17 18:45:00,2024-01-17 19:45:00,5,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.47, 'active_users': 3.38, 'cpu_load': 3.24}"
S1,2024-01-17 20:15:00,2024-01-17 20:15:00,1,latency_ms,downlink_traffic_gb,cpu_load,F6,"{'latency_ms': 3.46, 'downlink_traffic_gb': 3.33, 'cpu_load': 3.29}"
S1,2024-01-17 20:45:00,2024-01-17 21:45:00,5,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.16, 'cpu_load': 2.98, 'active_users': 2.83}"
S1,2024-01-18 00:00:00,2024-01-18 00:30:00,3,temperature_c,call_drop_rate,latency_ms,F1,"{'temperature_c': 0.67, 'call_drop_rate': 0.61, 'latency_ms': 0.59}"
S1,2024-01-18 10:00:00,2024-01-18 10:00:00,1,uplink_interference_dbm,downlink_traffic_gb,active_users,F5,"{'uplink_interference_dbm': 2.61, 'downlink_traffic_gb': 2.45, 'active_users': 2.25}"
S1,2024-01-18 19:00:00,2024-01-18 22:00:00,13,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.25, 'active_users': 3.14, 'cpu_load': 3.09}"
S1,2024-01-18 22:30:00,2024-01-18 23:15:00,4,latency_ms,active_users,cpu_load,F6,"{'latency_ms': 1.69, 'active_users': 1.67, 'cpu_load': 1.64}"
S1,2024-01-19 00:00:00,2024-01-19 00:30:00,3,uplink_interference_dbm,call_setup_success_rate,latency_ms,F5,"{'uplink_interference_dbm': 1.36, 'call_setup_success_rate': 1.26, 'latency_ms': 0.5}"
S1,2024-01-19 19:00:00,2024-01-19 22:15:00,14,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.17, 'active_users': 3.13, 'cpu_load': 3.13}"
S1,2024-01-19 23:00:00,2024-01-19 23:00:00,1,call_setup_success_rate,retransmission_rate,downlink_traffic_gb,F1,"{'call_setup_success_rate': 2.32, 'retransmission_rate': 1.85, 'downlink_traffic_gb': 1.58}"
S1,2024-01-20 00:00:00,2024-01-20 00:45:00,4,call_drop_rate,temperature_c,uplink_interference_dbm,F1,"{'call_drop_rate': 1.23, 'temperature_c': 0.96, 'uplink_interference_dbm': 0.88}"
S2,2024-01-11 00:00:00,2024-01-11 00:00:00,1,call_drop_rate,signal_quality_db,handover_success_rate,F1,"{'call_drop_rate': 1.64, 'signal_quality_db': 1.57, 'handover_success_rate': 1.33}"
S2,2024-01-13 00:00:00,2024-01-13 00:15:00,2,uplink_interference_dbm,handover_success_rate,signal_quality_db,F5,"{'uplink_interference_dbm': 1.6, 'handover_success_rate': 1.43, 'signal_quality_db': 1.43}"
S2,2024-01-20 01:00:00,2024-01-20 01:00:00,1,supply_voltage_v,uplink_interference_dbm,latency_ms,F3,"{'supply_voltage_v': 2.5, 'uplink_interference_dbm': 1.84, 'latency_ms': 1.62}"
S3,2024-01-11 00:00:00,2024-01-11 00:15:00,2,signal_quality_db,handover_success_rate,uplink_interference_dbm,F5,"{'signal_quality_db': 2.03, 'handover_success_rate': 1.95, 'uplink_interference_dbm': 1.17}"
S3,2024-01-11 19:00:00,2024-01-12 00:30:00,23,call_drop_rate,call_setup_success_rate,retransmission_rate,F1,"{'call_drop_rate': 8.61, 'call_setup_success_rate': 7.4, 'retransmission_rate': 4.99}"
S3,2024-01-13 01:30:00,2024-01-13 01:30:00,1,signal_quality_db,handover_success_rate,call_drop_rate,F1,"{'signal_quality_db': 3.71, 'handover_success_rate': 2.2, 'call_drop_rate': 1.87}"
S3,2024-01-14 14:30:00,2024-01-14 14:30:00,1,call_drop_rate,call_setup_success_rate,signal_quality_db,F1,"{'call_drop_rate': 2.66, 'call_setup_success_rate': 2.45, 'signal_quality_db': 1.58}"
S3,2024-01-17 15:00:00,2024-01-17 18:30:00,15,call_drop_rate,call_setup_success_rate,retransmission_rate,F1,"{'call_drop_rate': 8.27, 'call_setup_success_rate': 7.56, 'retransmission_rate': 4.78}"
S3,2024-01-20 02:00:00,2024-01-20 02:00:00,1,supply_voltage_v,call_drop_rate,temperature_c,F3,"{'supply_voltage_v': 2.61, 'call_drop_rate': 1.85, 'temperature_c': 1.52}"
S3,2024-01-21 04:15:00,2024-01-21 04:15:00,1,call_drop_rate,signal_quality_db,latency_ms,F1,"{'call_drop_rate': 2.84, 'signal_quality_db': 1.83, 'latency_ms': 1.63}"
S4,2024-01-11 00:00:00,2024-01-11 00:00:00,1,call_drop_rate,temperature_c,supply_voltage_v,F3,"{'call_drop_rate': 1.63, 'temperature_c': 1.43, 'supply_voltage_v': 1.06}"
S4,2024-01-13 03:15:00,2024-01-13 03:45:00,3,supply_voltage_v,call_drop_rate,latency_ms,F3,"{'supply_voltage_v': 3.64, 'call_drop_rate': 1.35, 'latency_ms': 1.23}"
S4,2024-01-13 05:45:00,2024-01-13 05:45:00,1,supply_voltage_v,call_drop_rate,call_setup_success_rate,F3,"{'supply_voltage_v': 11.78, 'call_drop_rate': 1.67, 'call_setup_success_rate': 1.61}"
S4,2024-01-21 02:30:00,2024-01-21 02:30:00,1,temperature_c,cpu_load,signal_quality_db,F3,"{'temperature_c': 2.07, 'cpu_load': 1.65, 'signal_quality_db': 1.65}"
S5,2024-01-11 00:00:00,2024-01-11 00:00:00,1,supply_voltage_v,call_drop_rate,temperature_c,F3,"{'supply_voltage_v': 1.47, 'call_drop_rate': 0.97, 'temperature_c': 0.56}"
S5,2024-01-11 07:45:00,2024-01-11 08:00:00,2,temperature_c,cpu_load,latency_ms,F6,"{'temperature_c': 4.02, 'cpu_load': 3.68, 'latency_ms': 3.68}"
S5,2024-01-11 08:30:00,2024-01-11 11:00:00,11,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.09, 'cpu_load': 3.62, 'active_users': 3.57}"
S5,2024-01-11 11:45:00,2024-01-11 11:45:00,1,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 2.35, 'active_users': 2.15, 'cpu_load': 2.14}"
S5,2024-01-11 17:45:00,2024-01-12 01:00:00,30,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.42, 'cpu_load': 3.28, 'active_users': 3.26}"
S5,2024-01-12 08:30:00,2024-01-12 10:00:00,7,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.13, 'cpu_load': 3.88, 'active_users': 3.82}"
S5,2024-01-12 10:30:00,2024-01-12 11:15:00,4,downlink_traffic_gb,temperature_c,cpu_load,F6,"{'downlink_traffic_gb': 3.23, 'temperature_c': 3.11, 'cpu_load': 3.06}"
S5,2024-01-12 17:30:00,2024-01-13 01:15:00,32,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.31, 'cpu_load': 3.13, 'active_users': 3.09}"
S5,2024-01-13 20:30:00,2024-01-13 20:30:00,1,active_users,downlink_traffic_gb,cpu_load,F6,"{'active_users': 3.2, 'downlink_traffic_gb': 3.12, 'cpu_load': 2.76}"
S5,2024-01-14 21:15:00,2024-01-14 21:15:00,1,cpu_load,temperature_c,active_users,F6,"{'cpu_load': 3.14, 'temperature_c': 2.88, 'active_users': 2.87}"
S5,2024-01-15 07:45:00,2024-01-15 07:45:00,1,temperature_c,cpu_load,downlink_traffic_gb,F6,"{'temperature_c': 3.79, 'cpu_load': 3.57, 'downlink_traffic_gb': 3.55}"
S5,2024-01-15 08:30:00,2024-01-15 11:45:00,14,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.53, 'active_users': 3.36, 'cpu_load': 3.33}"
S5,2024-01-15 17:45:00,2024-01-16 01:00:00,30,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.52, 'active_users': 3.29, 'cpu_load': 3.26}"
S5,2024-01-16 07:15:00,2024-01-16 07:15:00,1,downlink_traffic_gb,latency_ms,active_users,F6,"{'downlink_traffic_gb': 3.71, 'latency_ms': 3.05, 'active_users': 2.98}"
S5,2024-01-16 08:30:00,2024-01-16 23:15:00,60,call_drop_rate,retransmission_rate,call_setup_success_rate,F6,"{'call_drop_rate': 9.86, 'retransmission_rate': 8.14, 'call_setup_success_rate': 5.1}"
S5,2024-01-16 23:45:00,2024-01-17 01:00:00,6,handover_success_rate,call_setup_success_rate,latency_ms,F2,"{'handover_success_rate': 0.54, 'call_setup_success_rate': 0.4, 'latency_ms': 0.19}"
S5,2024-01-17 07:15:00,2024-01-17 07:15:00,1,downlink_traffic_gb,cpu_load,temperature_c,F6,"{'downlink_traffic_gb': 3.62, 'cpu_load': 3.01, 'temperature_c': 2.99}"
S5,2024-01-17 07:45:00,2024-01-17 08:00:00,2,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.72, 'cpu_load': 3.7, 'active_users': 3.58}"
S5,2024-01-17 08:30:00,2024-01-17 08:45:00,2,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.97, 'active_users': 3.93, 'cpu_load': 3.87}"
S5,2024-01-17 09:15:00,2024-01-17 10:30:00,6,cpu_load,temperature_c,active_users,F6,"{'cpu_load': 3.9, 'temperature_c': 3.84, 'active_users': 3.84}"
S5,2024-01-17 11:00:00,2024-01-17 11:15:00,2,cpu_load,downlink_traffic_gb,temperature_c,F6,"{'cpu_load': 2.8, 'downlink_traffic_gb': 2.65, 'temperature_c': 2.64}"
S5,2024-01-17 11:45:00,2024-01-17 11:45:00,1,active_users,downlink_traffic_gb,latency_ms,F4,"{'active_users': 2.11, 'downlink_traffic_gb': 2.11, 'latency_ms': 2.07}"
S5,2024-01-17 17:30:00,2024-01-17 23:30:00,25,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.19, 'cpu_load': 4.02, 'active_users': 4.01}"
S5,2024-01-18 00:00:00,2024-01-18 00:45:00,4,signal_quality_db,handover_success_rate,call_drop_rate,F1,"{'signal_quality_db': 0.8, 'handover_success_rate': 0.73, 'call_drop_rate': 0.61}"
S5,2024-01-18 07:00:00,2024-01-18 14:00:00,29,call_drop_rate,call_setup_success_rate,retransmission_rate,F6,"{'call_drop_rate': 5.12, 'call_setup_success_rate': 4.65, 'retransmission_rate': 3.98}"
S5,2024-01-18 17:15:00,2024-01-18 17:15:00,1,call_drop_rate,temperature_c,downlink_traffic_gb,F6,"{'call_drop_rate': 3.17, 'temperature_c': 3.06, 'downlink_traffic_gb': 3.06}"
S5,2024-01-18 17:45:00,2024-01-18 23:30:00,24,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.31, 'cpu_load': 4.11, 'active_users': 4.11}"
S5,2024-01-19 00:00:00,2024-01-19 00:45:00,4,handover_success_rate,retransmission_rate,call_setup_success_rate,F1,"{'handover_success_rate': 0.76, 'retransmission_rate': 0.52, 'call_setup_success_rate': 0.34}"
S5,2024-01-19 07:15:00,2024-01-19 07:15:00,1,temperature_c,downlink_traffic_gb,active_users,F6,"{'temperature_c': 3.41, 'downlink_traffic_gb': 3.34, 'active_users': 3.29}"
S5,2024-01-19 07:45:00,2024-01-19 11:15:00,15,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.79, 'cpu_load': 3.65, 'active_users': 3.61}"
S5,2024-01-19 17:45:00,2024-01-20 01:00:00,30,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.4, 'active_users': 3.25, 'cpu_load': 3.16}"
S5,2024-01-21 20:00:00,2024-01-21 20:00:00,1,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.2, 'cpu_load': 3.11, 'active_users': 3.04}"
S6,2024-01-11 00:00:00,2024-01-11 00:00:00,1,handover_success_rate,signal_quality_db,call_setup_success_rate,F5,"{'handover_success_rate': 1.39, 'signal_quality_db': 1.29, 'call_setup_success_rate': 1.07}"
S6,2024-01-11 20:15:00,2024-01-11 20:45:00,3,cpu_load,downlink_traffic_gb,active_users,F6,"{'cpu_load': 3.58, 'downlink_traffic_gb': 3.56, 'active_users': 3.5}"
S6,2024-01-12 00:00:00,2024-01-12 00:00:00,1,uplink_interference_dbm,supply_voltage_v,signal_quality_db,F5,"{'uplink_interference_dbm': 1.88, 'supply_voltage_v': 1.34, 'signal_quality_db': 1.01}"
S6,2024-01-12 21:15:00,2024-01-12 21:15:00,1,cpu_load,temperature_c,downlink_traffic_gb,F6,"{'cpu_load': 3.09, 'temperature_c': 3.03, 'downlink_traffic_gb': 2.99}"
S6,2024-01-13 00:15:00,2024-01-13 00:30:00,2,handover_success_rate,uplink_interference_dbm,latency_ms,F2,"{'handover_success_rate': 1.42, 'uplink_interference_dbm': 1.16, 'latency_ms': 0.94}"
S6,2024-01-15 18:00:00,2024-01-15 22:30:00,19,call_drop_rate,call_setup_success_rate,downlink_traffic_gb,F6,"{'call_drop_rate': 10.7, 'call_setup_success_rate': 9.01, 'downlink_traffic_gb': 7.93}"
S6,2024-01-16 00:15:00,2024-01-16 00:30:00,2,supply_voltage_v,call_setup_success_rate,signal_quality_db,F3,"{'supply_voltage_v': 1.66, 'call_setup_success_rate': 1.24, 'signal_quality_db': 1.02}"
S6,2024-01-17 00:15:00,2024-01-17 00:15:00,1,call_drop_rate,uplink_interference_dbm,supply_voltage_v,F1,"{'call_drop_rate': 1.64, 'uplink_interference_dbm': 1.35, 'supply_voltage_v': 1.31}"
S6,2024-01-17 00:45:00,2024-01-17 00:45:00,1,signal_quality_db,uplink_interference_dbm,retransmission_rate,F1,"{'signal_quality_db': 1.6, 'uplink_interference_dbm': 1.56, 'retransmission_rate': 1.31}"
S6,2024-01-17 21:00:00,2024-01-17 21:00:00,1,latency_ms,downlink_traffic_gb,active_users,F6,"{'latency_ms': 3.18, 'downlink_traffic_gb': 3.15, 'active_users': 3.14}"
S6,2024-01-18 00:15:00,2024-01-18 00:30:00,2,uplink_interference_dbm,call_setup_success_rate,call_drop_rate,F5,"{'uplink_interference_dbm': 1.4, 'call_setup_success_rate': 1.12, 'call_drop_rate': 0.92}"
S6,2024-01-18 09:30:00,2024-01-18 09:30:00,1,handover_success_rate,latency_ms,retransmission_rate,F6,"{'handover_success_rate': 3.92, 'latency_ms': 3.2, 'retransmission_rate': 2.68}"
S6,2024-01-18 20:00:00,2024-01-18 21:45:00,8,handover_success_rate,latency_ms,downlink_traffic_gb,F6,"{'handover_success_rate': 10.55, 'latency_ms': 3.7, 'downlink_traffic_gb': 3.14}"
S6,2024-01-19 00:00:00,2024-01-19 00:00:00,1,handover_success_rate,call_drop_rate,supply_voltage_v,F2,"{'handover_success_rate': 12.0, 'call_drop_rate': 1.21, 'supply_voltage_v': 1.17}"
S6,2024-01-19 21:30:00,2024-01-19 21:30:00,1,temperature_c,downlink_traffic_gb,signal_quality_db,F6,"{'temperature_c': 3.09, 'downlink_traffic_gb': 2.75, 'signal_quality_db': 2.71}"
S6,2024-01-20 00:00:00,2024-01-20 00:15:00,2,handover_success_rate,latency_ms,signal_quality_db,F2,"{'handover_success_rate': 1.17, 'latency_ms': 1.17, 'signal_quality_db': 1.07}"
S7,2024-01-11 00:00:00,2024-01-11 00:00:00,1,retransmission_rate,call_setup_success_rate,supply_voltage_v,F1,"{'retransmission_rate': 1.31, 'call_setup_success_rate': 1.23, 'supply_voltage_v': 1.23}"
